Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /give.html?runner=angus-anderson HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /js/give.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:26] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /give.html?runner=sarah-mitchell HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /js/give.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:27] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /give.html?runner=dev-patel HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /js/give.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:28] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /give.html?runner=maria-kowalski HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /js/give.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /js/nav.js HTTP/1.1" 200 -
